Banjo-Tooie Soundtrack

Song Name					Size
01 - jinjo village.mp3				5.17 MB
02 - isle of hags.mp3				5.64 MB
03 - mayahem temple.mp3				4.92 MB
04 - glitter gulch mine.mp3			4.69 MB
05 - witchyworld.mp3				5.04 MB
06 - jolly rogers lagoon.mp3			4.86 MB
07 - atlantis.mp3				5.71 MB
08 - terrydactyland.mp3				4.84 MB
09 - grunty industries.mp3			5.14 MB
10 - hailfire peaks.mp3				5.51 MB
11 - cloud cuckooland.mp3			4.81 MB
12 - cauldron keep.mp3				5.58 MB
13 - final battle.mp3				7.60 MB
14 - credits the character parade.MP3		3.66 MB
