De Nederlandse top 40 week 51

DW VW AW  Artiest - Titel
01 01 12  Bruno Mars - Just The Way You Are
02 02 09  Duck Sauce - Barbra Streisand
03 16 02  Adele - Rolling In The Deep
04 03 13  Rihanna - Only Girl (In The World)
05 05 08  Far*East Movement ft. The Cataracs & Dev - Like A G6
06 04 09  Pink - Raise Your Glass
07 07 05  The Black Eyed Peas - The Time (Dirty Bit)
08 06 10  Taio Cruz - Dynamite
09 12 06  B.o.B. ft. Rivers Cuomo - Magic
10 09 07  Katy Perry - Firework
11 18 03  Lange Frans & ThÃ© Lau - Zing Voor Me
12 19 03  Nelly - Just A Dream
13 11 03  Ben Saunders - If You Don't Know Me By Now
14 08 11  James Blunt - Stay The Night
15 15 05  New Kids ft. DJ Paul Elstak - Turbo!
16 10 06  De Jeugd van Tegenwoordig - Sterrenstof
17 -- 01  Coldplay - Chrismas Lights
18 17 04  John Mayer - Perfectly Lonely
19 13 07  Kane & Ilse DeLange - High places
20 21 03  David Guetta ft. Rihanna - Who's That Chick
21 14 20  Usher ft. Pitbull - DJ Got Us Fallin' In Love
22 22 03  Take That - The Flood
23 -- 01  Martin Solveig ft. Dragonette - Hello (single version!)
24 24 05  Travie  McCoy - We'll Be Alright
25 37 02  Nick & Simon - Vlinders
26 20 06  Enrique Iglesias ft. Nicole Scherzinger - Heartbeat
27 28 04  Jeroen van Der Boom - Werd De Tijd Maar Teruggedraait
28 27 06  Caro Emerald - Stuck
29 -- 01  Bruno Mars - Grenade
30 34 02  VanVelzen - Take Me In
31 31 02  Jochem Myjer - Mijn Dag!
32 32 03  Jason DerÃ¼lo - What If
33 -- 01  Marco Borsato - Kerstmis
34 35 03  Handsome Poets - Dance (The War Is Over)
35 -- 01  Rihanna ft. Drake - What's My Name
36 23 05  RenÃ© Froger - 'k Heb Je Lief
37 29 04  Jacqueline - Big World
38 33 12  3Js & Ellen ten Damme - Wat Is Dromen
39 25 10  Alex Gaudino - I'm In Love (I Wanna Do It)
40 26 08  Marco Borsato - Waterkant
