2011 Sasquatch! Music Festival Playlist

Featuring 350 of the greatest songs you will hear at the 2011 Sasquatch! Music Festival.

!!! - Heart Of Hearts  (6:02)
!!! - Jamie My Intentions Are Bass  (5:06)
!!! - Must Be The Moon  (5:56)
Against Me! - Baby, I\\\'m An Anarchist  (2:40)
Against Me! - Borne On The Fm Waves Of The Heart (Feat. Tegan Quin)  (4:10)
Against Me! - Cavalier Eternal  (2:54)
Against Me! - Don\\\'t Lose Touch  (2:55)
Against Me! - Mediocraty Gets You Pears  (2:38)
Against Me! - Miami  (4:00)
Against Me! - New Wave  (3:29)
Against Me! - Sink, Florida, Sink  (2:41)
Against Me! - Thrash Unreal  (4:14)
Against Me! - Up The Cuts  (2:53)
Alberta Cross - I\\\'ve Known For So Long  (3:59)
Alberta Cross - Low Man  (2:43)
Alberta Cross - Lucy Rider  (3:29)
Alberta Cross - Ramblin Home  (4:15)
Aloe Blacc - I Need A Dollar  (4:04)
Archers Of Loaf - Web In Front  (2:05)
Axis Of Awesome - Four Chord Song  (5:31)
Basia Bulat - Gold Rush  (3:34)
Basia Bulat - If Only You  (2:48)
Bassnectar - Bass Head  (6:41)
Bassnectar - Duzzit Slow  (3:57)
Bassnectar - Massive Attack (Remix)  (4:13)
Bassnectar - Teleport Massive (Remix)  (6:11)
Bassnectar - Where Is My Mind (Remix)  (4:20)
Beach House - Better Times  (4:23)
Beach House - Gila  (4:45)
Beach House - Norway  (4:06)
Beach House - Take Care  (5:49)
Beach House - The Arrangement  (5:03)
Beach House - White Moon  (4:21)
Beach House - Zebra  (3:57)
Biffy Clyro - Bubbles  (5:01)
Biffy Clyro - Folding Stars  (4:15)
Biffy Clyro - Machines  (3:34)
Biffy Clyro - Many Of Horror  (4:19)
Biffy Clyro - Mountains  (3:21)
Biffy Clyro - Shock Shock  (3:04)
Biffy Clyro - The Captain  (3:43)
Black Mountain - Angels  (3:08)
Black Mountain - Buried By The Blues  (4:03)
Black Mountain - The Hair Song  (3:55)
Bright Eyes - Arc Of Time  (3:54)
Bright Eyes - Bowl Of Oranges  (4:49)
Bright Eyes - Haile Selassie  (4:33)
Bright Eyes - Jejune Stars  (4:10)
Bright Eyes - Lover I Dont Have To Love  (4:00)
Bright Eyes - Susan Miller Rag  (4:05)
Bright Eyes - The First Day Of My Life  (2:52)
Bright Eyes - Triple Spiral  (3:51)
Chromeo - Fancy Footwork  (5:44)
Chromeo - Hot Mess  (3:40)
Chromeo - Night By Night  (3:47)
Chromeo - Tenderoni  (4:15)
City And Colour - Against The Grain  (3:46)
City And Colour - Save Your Scissors  (4:52)
City And Colour - The Girl  (6:00)
Cold War Kids - Audience  (3:04)
Cold War Kids - Bulldozer  (5:02)
Cold War Kids - Hang Me Up To Dry  (3:39)
Cold War Kids - Louder Than Ever  (2:44)
Cold War Kids - Mexican Dogs  (3:32)
Cold War Kids - Mine Is Yours  (4:17)
Cold War Kids - Out Of The Wilderness  (4:07)
Cold War Kids - Royal Blue  (3:34)
Cold War Kids - Sensitive Kid  (3:33)
Cold War Kids - Skip The Charades  (4:25)
Cold War Kids - Something Is Not Right With Me  (2:22)
Cotton Jones - Somehow To Keep It Going  (4:37)
CSS - Alala  (3:58)
CSS - Alcohol  (2:49)
CSS - Beautiful Song  (3:26)
CSS - Cannonball  (3:20)
CSS - I Fly  (3:15)
CSS - Left Behind  (3:28)
CSS - Let\\\'s Make Love And Listen To Death From Above  (3:31)
CSS - Let\\\'s Reggae All Night  (3:54)
CSS - Rat Is Dead (Rage)  (3:19)
Dan Mangan - Road Regrets  (4:32)
Dan Mangan - Robots  (4:05)
Dan Mangan - The Indie Queens Are Waiting  (3:38)
Dan Mangan - Tina\\\'s Glorious Comeback  (2:41)
Das Racist - Combination Pizza Hut And Taco Bell  (2:58)
Das Racist - Rainbow In The Dark  (3:50)
Das Racist - Rapping 2 U (Feat. Lakutis)  (4:41)
Das Racist - Return To Innocence  (5:09)
Das Racist - You Can Sell Anything  (3:04)
Das Racist - You Oughta Know  (2:56)
Death Cab For Cutie - A Lack Of Color  (3:36)
Death Cab For Cutie - Crooked Teeth  (3:25)
Death Cab For Cutie - Expo \\\'86  (4:11)
Death Cab For Cutie - I Will Follow You Into The Dark  (3:09)
Death Cab For Cutie - I Will Possess Your Heart  (4:50)
Death Cab For Cutie - No Sunlight  (2:40)
Death Cab For Cutie - Photobooth  (3:46)
Death Cab For Cutie - Soul Meets Body  (3:48)
Death Cab For Cutie - The Sound Of Settling  (2:13)
Death Cab For Cutie - You Are A Tourist  (4:47)
Death Cab For Cutie - Your Heart Is An Empty Room  (3:40)
Death From Above 1979 - Blood On Our Hands  (3:00)
Deerhunter - Desire Lines  (6:44)
Deerhunter - Helicopter  (4:58)
Deerhunter - Memory Boy  (2:09)
Deerhunter - Never Stops  (3:04)
Fitz And The Tantrums - Moneygrabber  (3:10)
Flogging Molly - Rebels Of The Sacred Heart  (5:19)
Flying Lotus - Massage Situation  (2:47)
Foo Fighters - Alandria  (4:27)
Foo Fighters - Aurora  (5:51)
Foo Fighters - Back & Forth  (3:52)
Foo Fighters - Big Me  (2:13)
Foo Fighters - Everlong  (4:11)
Foo Fighters - Generator  (3:49)
Foo Fighters - Hey, Johnny Park!  (4:09)
Foo Fighters - Long Road To Ruin  (3:45)
Foo Fighters - Marigold  (3:20)
Foo Fighters - Overdrive  (4:31)
Foo Fighters - Rope  (4:19)
Foo Fighters - Statues  (3:48)
Foo Fighters - The Deepest Blues Are Black  (3:58)
Foo Fighters - This Is A Call  (3:54)
Foo Fighters - Up In Arms  (2:16)
Foo Fighters - Walk  (4:16)
Foo Fighters - Wheels  (4:38)
Foster The People - Helena Beat  (4:36)
Foster The People - Pumped Up Kicks  (4:13)
Givers - Ceiling Of Plankton  (4:23)
Givers - Meantime  (4:48)
Givers - Saw You First  (5:07)
Givers - Up Up Up  (4:16)
Gold Panda - You  (3:50)
Guided By Voices - As We Go Up, We Go Down  (1:37)
Guided By Voices - Game Of Pricks  (1:33)
Guided By Voices - I Am A Scientist  (2:24)
Guided By Voices - Motor Away  (2:07)
Guided By Voices - My Valuable Hunting Knife  (2:00)
Head Like A Kite - Diamond Paint  (3:30)
Head Like A Kite - Director\\\'s Cut  (3:55)
Head Like A Kite - No Ordinary Caveman  (3:28)
Head Like A Kite - Thrones Of Glory  (3:21)
Iron & Wine - Big Burned Hand  (3:33)
Iron & Wine - Boy With A Coin  (4:05)
Iron & Wine - Flightless Bird, American Mouth  (4:03)
Iron & Wine - Naked As We Came  (2:33)
Iron & Wine - Resurrection Fern  (4:50)
Iron & Wine - Such Great Heights  (4:11)
Iron & Wine - Walking Far From Home  (5:21)
Jaill - Everyone\\\'s Hip  (2:33)
Jenny And Johnny - Big Wave  (3:54)
Jenny And Johnny - My Pet Snake  (3:38)
Jenny And Johnny - New York Cartoon  (4:14)
Jenny And Johnny - Scissor Runner  (2:58)
Jenny And Johnny - Straight Edge Of The Blade  (3:52)
K-Os - B-Boy Stance  (4:30)
K-Os - On The Run (feat. Saukrates)  (4:01)
Local Natives - Airplanes  (4:00)
Local Natives - Who Knows Who Cares  (3:55)
Local Natives - Wide Eyes  (4:28)
Local Natives - World News  (4:32)
Mad Rad - Donut Truck  (3:19)
Mad Rad - My Product  (3:25)
Mad Rad - Sexxy Bicycle  (3:20)
Mad Rad - Superdope!  (4:17)
Mad Rad - Zeus Disco  (2:38)
Major Lazer - Can\\\'t Stop Now (Feat. Mr. Vegas & Jovi Rockwell)  (4:05)
Major Lazer - Hold The Line (Feat. Mr. Lexx & Santigold)  (3:41)
Major Lazer - Keep It Goin\\\' Louder (Feat. Aina Sky & Ricky Blaze)  (3:49)
Major Lazer - Pod De Floor\\\' (Feat. Vybz Kartel)  (3:36)
Matt & Kim - AM.FM Sound  (3:15)
Matt & Kim - Cameras  (3:33)
Matt & Kim - Daylight  (2:51)
Matt & Kim - Dont Slow Down  (3:08)
Matt & Kim - Ginders  (1:47)
Modest Mouse - Autumn Beds  (3:37)
Modest Mouse - Dashboard  (4:05)
Modest Mouse - Fire It Up  (4:35)
Modest Mouse - Float On  (3:30)
Modest Mouse - Gravity Rides Everything  (4:22)
Modest Mouse - Guilty Cocker Spaniels  (4:03)
Modest Mouse - Missed The Boat  (4:25)
Modest Mouse - The View  (4:10)
Modest Mouse - The World At Large  (4:32)
Moondoggies - A Lot Of People On My Mind  (3:12)
Moondoggies - The Undertaker  (3:46)
MSTRKRFT - 1,000 Cigarettes (Feat. Freeway)  (3:12)
MSTRKRFT - Bounce (Feat. N.O.R.E. & Isis)  (2:51)
MSTRKRFT - Easy Love  (5:32)
MSTRKRFT - Heartbreaker (Feat. John Legend)  (3:13)
MSTRKRFT - Woman (Remix)  (3:33)
MSTRKRFT - Word Up (Feat. Ghostface Killah)  (3:51)
Noah And The Whale - 2 Atoms In A Molecule  (2:05)
Noah And The Whale - 5 Years Time  (3:35)
Noah And The Whale - Jocasta  (2:49)
Noah And The Whale - L.I.F.E.G.O.E.S.O.N.  (3:53)
Noah And The Whale - Love Of An Orchestra  (2:03)
Noah And The Whale - Rocks And Daggers  (4:33)
Noah And The Whale - Second Lover  (4:04)
Noah And The Whale - Shape Of My Heart  (2:54)
Noah And The Whale - Tonight\\\'s The Kind Of Night  (3:10)
Old 97\\\'s - Doreen  (3:44)
Old 97\\\'s - Murder (Or A Heart Attack)  (3:42)
Old 97\\\'s - Niteclub  (3:51)
Old 97\\\'s - Timebomb  (3:09)
Pepper Rabbit - Older Brother  (3:20)
