 
http://itunes.apple.com/us/album/love-for-sale-deluxe-edition/id436485055

Jazz mp3@320kbps


01- Let's Stay Together.mp3                                        10.43MB
02- Love for Sale.mp3                                               6.68MB
03- A Better Day Will Come.mp3                                      6.68MB
04- Passin' Through.mp3                                            10.46MB
05- What Are Your Doing the Rest of Your Life.mp3                   9.28MB
06- Rock With You.mp3                                               8.22MB
07- Autumn Leaves.mp3                                              10.70MB
08- Come Back to Me.mp3                                             5.43MB
09- Comin' Home Baby.mp3                                            9.02MB
10- Reminiscing In Tempo.mp3                                        7.72MB
11- One or the Other.mp3                                            9.05MB
12- Little Black Spider (Bonus Track).mp3                           8.06MB
13- Soft Songs.mp3                                                  7.57MB
