User Type,Username,Date,Text
,lanusick,2011-06-18T11:42Z,"I get the activation screen from ORIGIN telling me ""Displayname field missing from registry"", any ideas?"
,sage1210,2011-06-18T11:47Z,"It no work !?!?

After put this crack fix it, now the game ask for key to active !!!
"
,5435345,2011-06-18T11:53Z,"Same here, get an activation screen.
This crack does not seem to be working.

Someone mentioned an reinstall of the game is required."
,lostlegends,2011-06-18T12:27Z,"Crack didnt work again! uninstaled and retried still no good, short of going throught the reg and manualy deleting stuff I have no idea atm. Looks like we may have to wait for another group to do a proper crack."
,lostlegends,2011-06-18T12:38Z,"
As an update.
google -  ""Alice Madness Returns Theta crack-fix proper"" 
There is one here on tpb not played properly yet but does seem too work. just delete all skidrow files first them drop these in and it seems fine. althought I have blocked activasion.exe and all other .exe's in my firewall."
,illiria,2011-06-18T13:11Z,"Use crackfix from THETA. It really does work fine.

http://thepiratebay.org/torrent/6474719/Alice_Madness_Returns_CrackFix_by_Theta_-_CRACK_ONLY

It seems SKIDROW is only trolling us lately. I say screw them."
,dmastera1,2011-06-18T13:32Z,"Alright when I put this on, Im getting an EA screen that says that too many peole have used that account >>Here's what it looks like :/"
,dmastera1,2011-06-18T13:39Z,"Nvm, its as lanusick says, I get a

 ""Displayname field missing from registry""

The error also goes on to say;

""Too many computers have accessed this account's version of DisplayName field missing from registry. Please try again later."""
,thegrimlegion,2011-06-18T13:44Z,Use THETA's crackfix people. That one works perfectly.
,Torx8,2011-06-18T14:16Z,"You need to put some programs on a blocklist in your firewall (recommend Comodo Internet Security, it's free and is easy to understand, fuck Windows Firewall=P).
Add the following files found in the ""Core"" folder:
""activation.exe"", ""EACoreServer.exe"", ""EAProxyInstaller.exe"" and ""PatchProgress.exe"". Probably don't need to add them all, but i did anyway. after that the game works as it's intended ;)"
,Jinkaro9,2011-06-18T14:34Z,"Use the THETA crack fix , i had no crashes anymore what so ever , and im almost at the end of the game ."
[V],Chris-Aksel,2011-06-18T14:49Z,"NFOFIX NOTES                                               
                                                                    When you replace our old crack with the crackfix, you may still have 
  troubles launching the game. To resolve these you have to block the 
  following files in your firewall: activation.exe, EACoreServer.exe, 
 EAProxyInstaller.exe, PatchProgress.exe. Or simply delete them."
,klord2010,2011-06-18T15:10Z,"They SCREWED-2-TIMES-IN-A-ROW...

To clarify, there's no such a thing THETA's crackfix. so far. it's from their initial release of the game."
[V],Chris-Aksel,2011-06-18T16:26Z,Read my comment above and you will find a fix
,chomos_potas,2011-06-18T17:12Z,"omg im 6 hours trying to play it.
Installing again this long ass install and need help.

THETA crack give me APPCRASH.
Skidrow fix crack give me awc.dll error after deleting EA core exes.

So now I got a new clean install. 
Must I delete EA exes and crack with Skidrow fix crack only? Or I need some of bug crack or what? 
arrggg!!"
,chomos_potas,2011-06-18T17:36Z,"New install.
Cracked with Crackfix-SKIDROW

activation.exe, EACoreServer.exe, 
EAProxyInstaller.exe, PatchProgress.exe. all deleted.

And I get this message when click on cracked AliceMadnessReturns.exe:

AWC.dll
There is a proble with your game setup. Please reinstall your game.

I got all directx etc...


"
,vortextk,2011-06-19T00:12Z,"Used theta till nearly the end of the game, where it crashed 3 times at the exact same spot, no drm message but a crash nonetheless. Got this new skidrow cracked, did a clean install + used this, and got through that part and finished the game."
,educuba,2011-06-19T00:29Z,"ok so at first it didnt work, i got the activation thing problem, so i blocked the EA files and got it to work, but now the game crashes every 2 minutes and i get no error message at all.... WTF?"
,IndigoAK,2011-06-19T01:14Z,"@chomos_potas

Stop deleting those files and add a block to those files to your firewall program instead."
,klord2010,2011-06-19T05:06Z,"@Chris
Yep, did the exactly what you said and it worked. Thanks.

Back up those files and deleting them was just fine for me.

@chomos_potas
For me, reinstall doesn't wipe all files so you should delete awc.dll in Alice2\Binaries\Win32\ folder (not the one in Alice2\Binaries\Win32\Core\) if there's one."
,Soolgoolg,2011-06-19T09:43Z,"First i had that stupid activation message, did was Chris said and now it seems to skip that and move to the next problem

""Failed to find default engine.ini file to retrieve My Documents subdirectory to use. Force quitting""

Im willing to be, as usual, im the only person who has ever had this problem"
,Soolgoolg,2011-06-19T09:44Z,"oops some typos, dont go all grammar nazi on me"
,Pursuit,2011-06-19T11:00Z,"Hi all,

If you want to play this game all you have to do is turn off THE INTERNET!
 simple hey?"
,Pursuit,2011-06-19T11:07Z,"Hi all,

Unplugged the ethernet cable or somehow turn off the internet if YOU want to play this game.

simple hey?"
,imjinah,2011-06-19T14:19Z,"skidrow is not screwed. he never trolls once.
his cracks have higher quality. it's user error.
be thankful that u can play many games
because of him.

i delete activation.exe, EACoreServer.exe, EAProxyInstaller.exe, PatchProgress.exe as 
chris aksel instructs before applying the crack
then put the crack in alice madness returns folder. what's so hard about that? so far
i got no crash by his crack.

u get error because u left old crack leftover.
reinstall the game. do as chris aksel said,
i connect to internet all the time with no problem.
"
,tix666,2011-06-19T14:23Z,"the game CRASHES everytime after intro - when Alice is talking with the doctor, anyone has the same problem? Can't even start to play the game, please help! Crackfix didn't work either - same problem, same crash"
,LordMerkadis,2011-06-19T18:47Z,"It still crash even with new crack cause they didn't took care of all the checks, im positively getting ""Your game was altered or tampered with reinstall the game blabla"""
,BitHQdvd,2011-06-19T20:24Z,"I couldn't even get the game to start with fresh install of game and then the Theta crack :-(
I tried this crack and same thing
Re-installed and at the end of installation, let it re-install DX, netframe, and the other
Then used this crack and also took head to  DRredflames advice and put awc.dll and skidrow.dll in the win32 folder also... not just the core folder
Then I cut activation.exe, EACoreServer.exe EAProxyInstaller.exe, and PatchProgress.exe out and put them in a junk folder just in case

Game started fine and I've just finished playing for a few hours :w00t:

I just got to the umbrella and also had the same problem with it not binding to other keys and will try a workaround and post back"
,tinygiantz,2011-06-19T20:36Z,i have no fucking clue how to add the exes to my firewall. been pirating games for literally years and i've never had to do this. :/
,tinygiantz,2011-06-19T21:42Z,"deleted the files, and got ""AWC.dll. There is a problem with your game's setup. Please reinstall your game."""
,Goretrait,2011-06-20T03:20Z,Keeps saying too many users have used this blah blah blah For EA :( HELP ? 
,Thiopental,2011-06-20T20:30Z,The umbrella block is not working. Has anyone tried using a Xbox controller as a workaround?
,juniorrude123,2011-06-21T03:36Z,"OK, here's what worked for me. I'm on at least 4 hours game play no problems besides the occasional frame drop.

1. Installed SKIDROW standard copy. DON'T CRACK YET
2. Removed Ethernet (or Wireless off)
3. delete activation.exe, EACoreServer.exe, EAProxyInstaller.exe, PatchProgress.exe - BEFORE CRACKING
4. CRACK - I used Theta crackfix but you could try SKIDROW's, probably nothing wrong with it, but this one worked flawlessly for me.
5. Play your game and enjoy.

Seedseedseed!!!"
